time/total_timesteps,train/learning_rate,time/time_elapsed,time/episodes,train/n_updates,rollout/ep_rew_mean,train/ent_coef_loss,train/ent_coef,rollout/ep_len_mean,train/actor_loss,time/fps,train/critic_loss
768800,0.0003,18585,3844,768699,-146.26843429000002,-0.649173378944397,0.019390597939491272,200.0,10.27846908569336,41,0.24157659709453583
769600,0.0003,18602,3848,769499,-147.11558956,-0.043293297290802,0.01900789886713028,200.0,9.194992065429688,41,0.05953742191195488
770400,0.0003,18619,3852,770299,-146.09380990999998,0.4237979054450989,0.018671730533242226,200.0,10.747461318969727,41,0.10654689371585846
771200,0.0003,18636,3856,771099,-144.0624726,-0.2896645665168762,0.018512258306145668,200.0,9.937021255493164,41,0.07249636203050613
772000,0.0003,18653,3860,771899,-146.30514066,-0.048562467098236084,0.018426768481731415,200.0,15.39732551574707,41,0.5320594906806946
772800,0.0003,18670,3864,772699,-148.60480284,0.17208710312843323,0.018763728439807892,200.0,11.493001937866211,41,0.11793152242898941
773600,0.0003,18687,3868,773499,-148.89398476999997,0.17310602962970734,0.019627032801508904,200.0,14.55893325805664,41,0.14469051361083984
774400,0.0003,18704,3872,774299,-146.61986356,0.4504575729370117,0.01973273977637291,200.0,16.441818237304688,41,0.27314621210098267
775200,0.0003,18721,3876,775099,-145.50264036000002,-0.3187374770641327,0.020038526505231857,200.0,13.704715728759766,41,0.28960663080215454
776000,0.0003,18738,3880,775899,-145.70372964999999,0.03361793980002403,0.01962163858115673,200.0,15.13532829284668,41,0.17785906791687012
776800,0.0003,18755,3884,776699,-145.65119014,0.21598544716835022,0.020221225917339325,200.0,16.206579208374023,41,0.12051746249198914
777600,0.0003,18772,3888,777499,-146.30960214999996,-0.31188440322875977,0.019035736098885536,200.0,13.812540054321289,41,0.22037318348884583
778400,0.0003,18789,3892,778299,-140.31354116999998,-0.3925410509109497,0.019268592819571495,200.0,9.919095993041992,41,0.15342749655246735
779200,0.0003,18806,3896,779099,-140.3348233,0.07272572070360184,0.019016511738300323,200.0,8.540111541748047,41,0.12415095418691635
780000,0.0003,18823,3900,779899,-141.33080578000002,0.2159455269575119,0.018228163942694664,200.0,11.878883361816406,41,0.0929393619298935
780800,0.0003,18840,3904,780699,-140.89265433,0.4595123529434204,0.018456751480698586,200.0,17.632884979248047,41,0.3875529170036316
781600,0.0003,18857,3908,781499,-142.00544104,0.4947422742843628,0.019955340772867203,200.0,13.707472801208496,41,0.10822981595993042
782400,0.0003,18874,3912,782299,-141.91393122,0.08502386510372162,0.020330045372247696,200.0,8.414007186889648,41,0.13953296840190887
783200,0.0003,18891,3916,783099,-140.50956071,-0.5971302390098572,0.020399631932377815,200.0,10.163022994995117,41,0.1763330101966858
784000,0.0003,18908,3920,783899,-138.43875199000001,-0.2647382318973541,0.018133927136659622,200.0,12.927389144897461,41,0.6571192741394043
784800,0.0003,18925,3924,784699,-135.08417408000003,0.49807271361351013,0.01933237537741661,200.0,9.215752601623535,41,0.6801918148994446
785600,0.0003,18942,3928,785499,-135.19265706,-0.05525028705596924,0.019540909677743912,200.0,14.135446548461914,41,0.16732212901115417
786400,0.0003,18959,3932,786299,-136.73900497,-0.03718211129307747,0.018663039430975914,200.0,15.662109375,41,0.168934628367424
787200,0.0003,18976,3936,787099,-134.46797897,0.09713131189346313,0.01893804781138897,200.0,11.413679122924805,41,0.14351558685302734
788000,0.0003,18993,3940,787899,-136.79180135000001,0.6572901010513306,0.01824438013136387,200.0,13.8787841796875,41,0.09571347385644913
788800,0.0003,19010,3944,788699,-136.89188825000002,0.3455619513988495,0.01821279339492321,200.0,8.79246997833252,41,0.09191780537366867
789600,0.0003,19028,3948,789499,-134.5810679,-0.17162911593914032,0.01867801882326603,200.0,11.53005313873291,41,0.12041883170604706
790400,0.0003,19045,3952,790299,-135.73094886,0.313148558139801,0.018991388380527496,200.0,12.796097755432129,41,0.23183120787143707
791200,0.0003,19062,3956,791099,-135.83860786999998,-0.2969237267971039,0.018932819366455078,200.0,8.244847297668457,41,0.16929543018341064
792000,0.0003,19079,3960,791899,-132.32103676,0.0011416524648666382,0.018109560012817383,200.0,15.398914337158203,41,0.0758620947599411
792800,0.0003,19096,3964,792699,-131.08236929999998,-0.4305458664894104,0.019171632826328278,200.0,13.059490203857422,41,0.21414527297019958
793600,0.0003,19113,3968,793499,-130.80631713000002,-0.9104527235031128,0.017881395295262337,200.0,10.086689949035645,41,0.09555371105670929
794400,0.0003,19130,3972,794299,-133.04512728,-0.12299884855747223,0.017076401039958,200.0,9.175765037536621,41,0.15357306599617004
795200,0.0003,19147,3976,795099,-133.14481791000003,-0.5769914984703064,0.015993796288967133,200.0,9.863056182861328,41,0.06490353494882584
796000,0.0003,19164,3980,795899,-131.20250005000003,0.4815351963043213,0.017224764451384544,200.0,8.922529220581055,41,0.19384995102882385
796800,0.0003,19181,3984,796699,-130.0796246,-0.007018400356173515,0.01738978549838066,200.0,13.193239212036133,41,0.16201627254486084
797600,0.0003,19198,3988,797499,-129.52646953999997,-0.0016175881028175354,0.01718854159116745,200.0,11.195855140686035,41,0.17608119547367096
798400,0.0003,19215,3992,798299,-131.7123841,0.08478643745183945,0.017427748069167137,200.0,7.875419616699219,41,0.10330848395824432
799200,0.0003,19232,3996,799099,-130.63099744000002,-0.026371359825134277,0.018319591879844666,200.0,14.747844696044922,41,0.9910827875137329
800000,0.0003,19249,4000,799899,-131.31301119000003,-0.5996989011764526,0.018318871036171913,200.0,10.450607299804688,41,0.12949633598327637
800800,0.0003,19266,4004,800699,-131.27994841,0.4993636906147003,0.01801450178027153,200.0,11.822436332702637,41,0.09033006429672241
801600,0.0003,19283,4008,801499,-135.75078049,-0.2773047387599945,0.01856783777475357,200.0,14.305574417114258,41,0.1971406638622284
802400,0.0003,19299,4012,802299,-134.71446813,0.5196608901023865,0.017230737954378128,200.0,11.580345153808594,41,0.15384426712989807
803200,0.0003,19316,4016,803099,-136.156195,1.198216199874878,0.01710497960448265,200.0,14.108695030212402,41,0.5370209813117981
804000,0.0003,19334,4020,803899,-137.16458547,-0.22753304243087769,0.01770959049463272,200.0,10.060115814208984,41,0.08693056553602219
804800,0.0003,19351,4024,804699,-136.00479225,-0.2217312455177307,0.017276974394917488,200.0,11.870111465454102,41,0.12396763265132904
805600,0.0003,19368,4028,805499,-137.60526198000002,-0.2962619364261627,0.016955390572547913,200.0,13.321359634399414,41,0.14152926206588745
806400,0.0003,19384,4032,806299,-136.35549539,0.004672586917877197,0.01614406146109104,200.0,9.820189476013184,41,0.21687158942222595
807200,0.0003,19401,4036,807099,-135.33554691,0.017401978373527527,0.01624605804681778,200.0,8.344569206237793,41,0.07905636727809906
808000,0.0003,19418,4040,807899,-132.94312883,-0.5683943033218384,0.017422478646039963,200.0,8.65812873840332,41,0.07577667385339737
808800,0.0003,19435,4044,808699,-134.99003757,0.3464202582836151,0.017545683309435844,200.0,14.088738441467285,41,0.1893678605556488
809600,0.0003,19453,4048,809499,-137.31189873,-0.5232836008071899,0.017842786386609077,200.0,16.999435424804688,41,0.21259081363677979
810400,0.0003,19469,4052,810299,-141.23125163000003,-0.3439621925354004,0.017074821516871452,200.0,12.076704978942871,41,0.15061050653457642
811200,0.0003,19486,4056,811099,-142.26675553,-0.22994285821914673,0.016393281519412994,200.0,11.161296844482422,41,0.3568758964538574
812000,0.0003,19503,4060,811899,-145.62790889000004,0.2421596795320511,0.01563798449933529,200.0,11.548750877380371,41,0.15019173920154572
812800,0.0003,19520,4064,812699,-145.80195948,-0.06751228868961334,0.016675999388098717,200.0,12.674370765686035,41,0.38011327385902405
813600,0.0003,19537,4068,813499,-145.83081392,-0.03801790624856949,0.016340041533112526,200.0,14.967672348022461,41,0.2609899044036865
814400,0.0003,19554,4072,814299,-147.41921014,0.02263445407152176,0.01656283251941204,200.0,13.869553565979004,41,0.1962563395500183
815200,0.0003,19571,4076,815099,-147.26916763,0.2984069585800171,0.01763301156461239,200.0,10.44938850402832,41,0.09049026668071747
816000,0.0003,19588,4080,815899,-144.7756033,-0.1109517514705658,0.017246931791305542,200.0,10.586050987243652,41,0.28783467411994934
816800,0.0003,19605,4084,816699,-146.94534425,0.051295697689056396,0.017640110105276108,200.0,14.027108192443848,41,0.07037097215652466
817600,0.0003,19623,4088,817499,-144.38640580999999,0.19044342637062073,0.0171672273427248,200.0,13.605055809020996,41,0.11368171870708466
818400,0.0003,19640,4092,818299,-143.29684202,0.5982588529586792,0.01603594236075878,200.0,14.771976470947266,41,0.4773309826850891
819200,0.0003,19657,4096,819099,-142.04389479,-0.22683054208755493,0.01684661954641342,200.0,12.960094451904297,41,0.19287393987178802
820000,0.0003,19674,4100,819899,-140.13026274999999,-0.7661705613136292,0.016149550676345825,200.0,10.388490676879883,41,0.1035323292016983
820800,0.0003,19691,4104,820699,-139.1107743,-0.1520475298166275,0.016485324129462242,200.0,10.452658653259277,41,0.24256926774978638
821600,0.0003,19708,4108,821499,-134.79217847,0.7834731340408325,0.016532281413674355,200.0,17.07483673095703,41,0.1743580847978592
822400,0.0003,19725,4112,822299,-136.02650205,0.2255447506904602,0.016749786213040352,200.0,12.475184440612793,41,0.37636157870292664
823200,0.0003,19742,4116,823099,-134.84904784999998,0.05696652829647064,0.01576543040573597,200.0,10.380644798278809,41,0.20774126052856445
824000,0.0003,19759,4120,823899,-135.92807857999998,0.3379107117652893,0.015269452705979347,200.0,15.135119438171387,41,0.3717924654483795
824800,0.0003,19776,4124,824699,-138.03409124,0.21476033329963684,0.016517994925379753,200.0,13.0355224609375,41,0.19017717242240906
825600,0.0003,19793,4128,825499,-136.51480064,0.006329238414764404,0.01689056120812893,200.0,11.81545352935791,41,0.33646726608276367
826400,0.0003,19810,4132,826299,-135.06354599,-0.06205686181783676,0.016110915690660477,200.0,10.824858665466309,41,0.13389986753463745
827200,0.0003,19827,4136,827099,-137.33398271,0.14453238248825073,0.016288626939058304,200.0,13.588563919067383,41,0.6294538974761963
828000,0.0003,19844,4140,827899,-137.37679316,0.6914283037185669,0.01638273149728775,200.0,11.699729919433594,41,0.34030383825302124
828800,0.0003,19861,4144,828699,-135.24288853,0.10823239386081696,0.01674739085137844,200.0,16.611440658569336,41,0.1309315413236618
829600,0.0003,19878,4148,829499,-131.90031272,-0.4810492694377899,0.015319767408072948,200.0,9.948091506958008,41,0.12375153601169586
830400,0.0003,19895,4152,830299,-127.89969955999999,-0.44009482860565186,0.015238205902278423,200.0,13.760217666625977,41,0.14974665641784668
831200,0.0003,19912,4156,831099,-128.2321161,0.0524713471531868,0.01407158188521862,200.0,11.538178443908691,41,0.09466072916984558
832000,0.0003,19929,4160,831899,-129.29541298,-0.33818843960762024,0.015309040434658527,200.0,10.130250930786133,41,0.0749339908361435
832800,0.0003,19945,4164,832699,-126.90264068,0.4872220754623413,0.015452575869858265,200.0,14.065906524658203,41,0.14655250310897827
833600,0.0003,19962,4168,833499,-125.77005788000002,-0.13668766617774963,0.0176609568297863,200.0,11.71899700164795,41,0.10021376609802246
834400,0.0003,19979,4172,834299,-123.01472949000002,-0.8109329342842102,0.01609104685485363,200.0,12.378608703613281,41,0.10404153168201447
835200,0.0003,19996,4176,835099,-121.86349823,0.4827464818954468,0.014770389534533024,200.0,11.800041198730469,41,0.15915730595588684
836000,0.0003,20013,4180,835899,-124.37151594000001,0.5147621631622314,0.015342415310442448,200.0,10.773500442504883,41,0.4995622932910919
836800,0.0003,20030,4184,836699,-125.73252943,0.027313828468322754,0.015397477895021439,200.0,11.085527420043945,41,0.12305784225463867
837600,0.0003,20047,4188,837499,-130.32917068,-0.006714299321174622,0.01508115604519844,200.0,13.514373779296875,41,0.26306140422821045
838400,0.0003,20064,4192,838299,-131.66691082,0.5775924324989319,0.016078421846032143,200.0,12.983636856079102,41,0.16735440492630005
