time/total_timesteps,rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,train/clip_range,train/entropy_loss,train/value_loss,train/clip_fraction,train/loss,train/explained_variance,train/std,train/n_updates,train/approx_kl,train/policy_gradient_loss
514048,200.0,1095,251,-176.58586996999995,469,0.0003,0.2,-0.3121496640145779,21.490339478850366,0.04052734375,1.0112789869308472,0.9878639904782176,0.33028095960617065,2500,0.0023946075,-0.001972582394228084
516096,200.0,1095,252,-173.13657674,471,0.0003,0.2,-0.3035741776227951,1.1132153189566452,0.166552734375,0.14365655183792114,0.995403547771275,0.32609042525291443,2510,0.0075548002,0.0039735921760438945
518144,200.0,1095,253,-178.65879966000003,472,0.0003,0.2,-0.30125319100916387,4.148064839211292,0.0931640625,3.3155882358551025,0.9804214779287577,0.32791441679000854,2520,0.0065232487,-0.0005109130168420961
520192,200.0,1095,254,-173.18893443000002,474,0.0003,0.2,-0.3019950445741415,8.097736586350948,0.067236328125,4.905250072479248,0.9947244683280587,0.3274621069431305,2530,0.0051563713,-0.005090952162572648
522240,200.0,1095,255,-173.22944871000004,476,0.0003,0.2,-0.3063693858683109,3.5480212732916696,0.1658203125,0.08700403571128845,0.9792716912925243,0.32956233620643616,2540,0.014555313,-0.0025548572884872556
524288,200.0,1095,256,-177.02001045999998,478,0.0003,0.2,-0.30939094722270966,6.176306783105247,0.1166015625,2.783520460128784,0.9962473697960377,0.32996293902397156,2550,0.00911728,-0.001630396823020419
526336,200.0,1095,257,-172.02271055,480,0.0003,0.2,-0.3078147526830435,3.232369093829766,0.06875,0.16576768457889557,0.9861649619415402,0.3280124366283417,2560,0.007409141,-0.0009044430407811888
528384,200.0,1095,258,-169.06140383000002,482,0.0003,0.2,-0.31252486519515515,2.6982965569128283,0.113134765625,0.2241515815258026,0.9788656644523144,0.33400553464889526,2570,0.017551634,0.01078944133623736
530432,200.0,1095,259,-175.30407367999996,484,0.0003,0.2,-0.3155880827456713,1.029663799831178,0.0958984375,1.008396029472351,0.9972769832238555,0.3286290764808655,2580,0.012761193,-0.0004200497885904042
532480,200.0,1095,260,-165.45023097000004,486,0.0003,0.2,-0.30483728013932704,1.4366832493105903,0.1197265625,0.6643775701522827,0.9983900764491409,0.3276199698448181,2590,0.00789226,-0.0007775165940984152
